,0,1
0,../data/DataSet/arborgreens/Image01.jpg,"[3244, 0, 0, 0, 24898, 11, 0, 0, 2875, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5761, 3, 0, 0, 6226, 3004, 0, 0, 296, 8812, 3, 0, 0, 274, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113, 0, 0, 0, 6674, 10, 0, 0, 955, 568, 0, 0, 4, 398, 4, 0, 0, 48, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353, 4, 0, 0, 356, 718, 0, 0, 0, 484, 0, 0, 0, 0, 0, 1, 0, 0, 93, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 20, 0, 0, 18511, 4541, 0, 0, 1563, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 401, 0, 0, 0, 552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2644]"
0,../data/DataSet/arborgreens/Image02.jpg,"[21490, 0, 0, 0, 50722, 197, 0, 0, 2468, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2423, 39, 0, 0, 1354, 961, 11, 0, 5, 1880, 248, 0, 0, 148, 160, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 10, 469, 2, 0, 0, 536, 371, 14, 0, 1, 283, 173, 0, 0, 39, 110, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 337, 2, 0, 0, 401, 532, 0, 0, 8, 467, 0, 0, 0, 0, 0, 52, 0, 0, 144, 271, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 141, 0, 0, 2680, 2825, 0, 0, 0, 40, 0, 0, 0, 0, 1, 2, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 341, 37, 0, 5, 468, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2113]"
0,../data/DataSet/arborgreens/Image03.jpg,"[17671, 0, 0, 0, 32318, 715, 0, 0, 5311, 1116, 1, 0, 0, 236, 4, 0, 0, 17, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 1, 0, 0, 100, 1030, 6, 0, 0, 7512, 291, 0, 0, 1785, 2283, 3, 0, 0, 422, 2, 0, 0, 4, 19, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 0, 0, 96, 957, 0, 0, 0, 867, 127, 0, 0, 948, 1543, 0, 0, 0, 811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 30, 512, 0, 0, 1, 1665, 0, 0, 0, 0, 0, 70, 0, 0, 703, 4519, 0, 0, 0, 441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 510, 5286, 0, 0, 2, 402, 0, 0, 0, 0, 10, 4, 0, 0, 243, 10, 0, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 2154, 9, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1984]"
0,../data/DataSet/arborgreens/Image04.jpg,"[7493, 0, 0, 0, 18167, 33, 0, 0, 1973, 59, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2490, 16, 0, 0, 2004, 3986, 0, 0, 28, 10804, 54, 0, 0, 1056, 603, 0, 0, 0, 41, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 17, 603, 12, 0, 0, 1028, 848, 0, 0, 13, 848, 54, 0, 0, 353, 655, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 7, 0, 0, 537, 1220, 0, 0, 39, 1838, 0, 0, 0, 0, 0, 1, 0, 0, 106, 278, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 177, 0, 0, 8775, 12705, 0, 0, 26, 496, 0, 0, 0, 0, 2, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 40, 362, 0, 0, 37, 1344, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 14, 45, 0, 0, 0, 0, 0, 0, 0, 0, 13053]"
0,../data/DataSet/arborgreens/Image05.jpg,"[10207, 9, 0, 0, 31209, 554, 0, 0, 3746, 169, 1, 0, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5586, 4, 0, 0, 1421, 1191, 27, 0, 52, 7446, 837, 0, 0, 3641, 1611, 0, 0, 114, 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 44, 396, 34, 0, 5, 1208, 1430, 0, 0, 156, 1501, 263, 0, 0, 2155, 718, 0, 0, 172, 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 113, 23, 0, 5, 504, 597, 0, 0, 185, 1719, 0, 0, 0, 0, 0, 109, 0, 0, 561, 1079, 0, 0, 35, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 14, 0, 0, 3972, 2830, 0, 0, 94, 635, 0, 0, 0, 0, 12, 4, 0, 0, 66, 4, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 8, 541, 9, 0, 31, 3557, 18, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 32, 11, 0, 0, 1, 0, 1, 0, 0, 0, 1441]"
0,../data/DataSet/arborgreens/Image06.jpg,"[20290, 8, 0, 0, 18946, 2388, 0, 0, 4146, 3096, 6, 0, 0, 623, 112, 0, 0, 3, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 23, 1558, 14, 0, 4, 15115, 1219, 0, 0, 1930, 2822, 5, 0, 0, 176, 21, 0, 0, 1, 44, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 0, 0, 41, 361, 0, 0, 0, 207, 149, 0, 0, 71, 596, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 31, 0, 0, 0, 136, 0, 0, 0, 0, 0, 122, 0, 0, 811, 11089, 0, 0, 3, 858, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 0, 0, 130, 4366, 0, 0, 5, 2045, 0, 0, 0, 0, 32, 4, 0, 0, 207, 88, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 3, 0, 0, 656, 23, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 79]"
0,../data/DataSet/arborgreens/Image07.jpg,"[36492, 0, 0, 0, 19533, 400, 0, 0, 2870, 1441, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 76, 1236, 0, 0, 0, 10332, 725, 0, 0, 1399, 2724, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 46, 0, 0, 111, 1610, 1, 0, 2, 909, 95, 0, 0, 230, 508, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 22, 0, 0, 44, 544, 0, 0, 0, 424, 0, 0, 0, 0, 0, 6, 0, 0, 389, 4866, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 0, 0, 361, 3968, 0, 0, 3, 461, 0, 0, 0, 0, 2, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 636, 0, 0, 0, 1663, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 416]"
0,../data/DataSet/arborgreens/Image08.jpg,"[44598, 35, 0, 0, 12083, 371, 0, 0, 4720, 369, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 2, 16, 0, 78, 660, 200, 6, 19, 11312, 744, 13, 0, 4446, 1354, 0, 0, 51, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15, 47, 32, 8, 5, 128, 527, 22, 0, 27, 483, 87, 0, 0, 204, 104, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 3, 0, 30, 78, 60, 0, 83, 101, 71, 0, 0, 2, 0, 0, 92, 0, 0, 1364, 3262, 0, 0, 49, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 23, 1, 0, 409, 3057, 0, 0, 50, 1823, 0, 0, 0, 0, 7, 1, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 38, 0, 7, 193, 54, 0, 9, 848, 6, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 0, 0, 2, 0, 0, 0, 0, 0, 33]"
0,../data/DataSet/arborgreens/Image09.jpg,"[24860, 32, 4, 2, 20359, 364, 21, 8, 7531, 364, 77, 2, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 381, 2, 2, 1, 216, 793, 124, 14, 42, 13139, 349, 18, 0, 4825, 932, 8, 0, 43, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 10, 0, 0, 167, 721, 13, 0, 10, 925, 760, 1, 0, 38, 524, 15, 0, 0, 235, 64, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 0, 0, 36, 233, 0, 0, 0, 65, 67, 0, 0, 6, 66, 56, 0, 0, 0, 117, 0, 0, 4, 1, 0, 61, 36, 0, 2057, 3479, 5, 0, 26, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 22, 0, 0, 1504, 5241, 0, 1, 103, 2030, 0, 1, 0, 0, 2, 8, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 35, 101, 6, 0, 20, 1036, 3, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 3, 0, 0, 162, 9, 0, 0, 0, 0, 0, 0, 0, 0, 51]"
0,../data/DataSet/arborgreens/Image10.jpg,"[36317, 3, 0, 0, 33195, 162, 0, 0, 3644, 95, 0, 0, 0, 19, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 15, 0, 0, 987, 152, 0, 0, 2291, 690, 3, 0, 287, 2614, 90, 0, 0, 492, 231, 0, 0, 6, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 219, 4, 0, 11, 565, 66, 0, 0, 552, 100, 0, 0, 620, 249, 1, 0, 96, 200, 41, 0, 0, 231, 192, 0, 0, 3, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 10, 6, 0, 0, 0, 16, 7, 0, 1, 319, 9, 0, 0, 233, 162, 0, 0, 64, 322, 0, 0, 0, 0, 0, 8, 0, 0, 211, 412, 0, 0, 4, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40, 0, 0, 256, 374, 0, 0, 4479, 1321, 0, 0, 407, 141, 0, 0, 0, 0, 2, 0, 0, 0, 29, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 17, 8, 0, 0, 3, 0, 0, 0, 0, 0, 16, 0, 0, 24, 227, 1, 0, 71, 520, 5, 0, 15, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 0, 0, 14, 32, 0, 0, 6, 44, 0, 0, 0, 0, 1, 0, 0, 0, 680]"
